fuel_type,body_type,kilometer,transmission_type,owner_no,brand,model,model_year,price,registration_year,seats_count,RDO_no,car_engine_cc,mileage,color,gear_box,location,age
Petrol,MUV,28253,Manual,1,Renault,Renault Triber,2020,719000.0,2020,7,KA01,999,20.0,Silver,5,bangalore,3
Diesel,SUV,50000,Manual,1,Hyundai,Hyundai Creta,2016,1260000.0,2016,5,KA51,1582,19.67,White,6,bangalore,7
Petrol,Hatchback,90000,Manual,2,Hyundai,Hyundai i10,2010,300000.0,2010,5,KA51,1197,20.36,Others,5,bangalore,13
Diesel,SUV,70000,Automatic,2,BMW,BMW X5,2016,3981000.0,2016,5,MH46,2993,15.97,Others,8,bangalore,7
Petrol,Hatchback,52571,Manual,1,Hyundai,Hyundai i20,2016,627000.0,2016,5,KA53,1197,18.6,Grey,5,bangalore,7
Diesel,Sedan,70000,Automatic,2,BMW,BMW 3 Series,2010,1300000.0,2010,5,KA01,1995,16.07,Others,6,bangalore,13
Petrol,Sedan,61993,Manual,1,Honda,Honda City,2015,672000.0,2015,5,KA04,1497,17.4,Silver,5,bangalore,8
Diesel,SUV,57000,Automatic,1,Hyundai,Hyundai Tucson,2017,1825000.0,2017,5,KA50,1995,16.38,White,6,bangalore,6
Diesel,SUV,80000,Manual,2,Toyota,Toyota Fortuner,2021,3500000.0,2021,7,KA03,2755,14.24,Others,6,bangalore,2
Petrol,Hatchback,36359,Manual,1,Hyundai,Hyundai i20,2013,440000.00000000006,2013,5,KA01,1197,18.5,Blue,5,bangalore,10
Diesel,SUV,70000,Manual,2,Tata,Tata Harrier,2019,1460000.0,2019,5,KA53,1956,17.0,Others,6,bangalore,4
Petrol,SUV,7500,Automatic,1,MG,MG Hector,2022,2041000.0,2022,5,KA01,1451,14.0,White,8,bangalore,1
Petrol,Sedan,30301,Automatic,1,Hyundai,Hyundai Verna,2017,1033000.0,2017,5,KA41,1591,17.0,Black,6,bangalore,6
Petrol,Hatchback,66000,Manual,1,Hyundai,Hyundai i10,2010,275000.0,2010,5,KA03,1197,20.36,Golden,5,bangalore,13
Petrol,Hatchback,56010,Manual,1,Hyundai,Hyundai i20,2017,676000.0,2017,5,KA41,1197,18.6,White,5,bangalore,6
Diesel,SUV,47000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,4290000.0,2017,5,KA03,2143,17.9,White,9,bangalore,6
Diesel,SUV,60000,Manual,2,Nissan,Nissan Terrano,2014,650000.0,2014,5,KA03,1461,19.01,Others,6,bangalore,9
Diesel,Hatchback,83829,Manual,1,Maruti,Maruti Swift,2014,444000.00000000006,2014,5,KA51,1248,25.2,Red,5,bangalore,9
Petrol,Hatchback,10000,Automatic,1,Renault,Renault KWID,2020,509999.99999999994,2020,5,KA50,999,22.0,Others,5,bangalore,3
Diesel,SUV,35000,Automatic,2,Renault,Renault Duster,2016,925000.0,2016,5,KA53,1461,19.6,Grey,6,bangalore,7
Petrol,Sedan,51116,Automatic,2,Honda,Honda City,2019,1024000.0,2020,5,KA03,1497,18.0,White,4,bangalore,3
Diesel,Sedan,80000,Manual,3,Skoda,Skoda Rapid,2016,500000.0,2016,5,KA09,1498,21.14,Others,5,bangalore,7
Petrol,Hatchback,40000,Automatic,2,Volkswagen,Volkswagen Polo,2017,994999.9999999999,2017,5,,1197,17.21,Others,7,bangalore,6
Petrol,SUV,85565,Automatic,2,Honda,Honda CR-V,2012,935000.0,2012,5,KA47,2354,11.1,White,5,bangalore,11
Petrol,SUV,36916,Manual,1,Ford,Ford Ecosport,2018,834000.0,2018,5,KA03,1497,17.0,Others,5,bangalore,5
Diesel,Hatchback,90000,Manual,1,Volkswagen,Volkswagen Polo,2015,560000.0,2015,5,KA04,1498,20.14,Others,5,bangalore,8
Petrol,Hatchback,112795,Manual,1,Maruti,Maruti Swift,2012,454000.0,2012,5,KA51,1197,22.38,Silver,5,bangalore,11
Petrol,Sedan,11000,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,3690000.0,2021,5,KA04,1332,13.0,Silver,7,bangalore,2
Petrol,MUV,120000,Manual,2,Toyota,Toyota Innova,2014,1100000.0,2014,7,KA05,1998,11.4,Others,5,bangalore,9
Petrol,Hatchback,36685,Manual,2,Honda,Honda Brio,2016,462000.0,2016,5,KA05,1198,19.4,Red,5,bangalore,7
Diesel,SUV,120000,Automatic,2,Hyundai,Hyundai Santa Fe,2012,900000.0,2012,7,,2199,11.72,Others,6,bangalore,11
Petrol,Sedan,4000,Automatic,1,BMW,BMW 6 Series,2022,7900000.0,2022,4,KA03,1998,13.32,Blue,8,bangalore,1
Petrol,Hatchback,32184,Automatic,2,Maruti,Maruti Baleno,2019,843000.0,2019,5,KA03,1197,21.4,Silver,4,bangalore,4
Petrol,Hatchback,32279,Manual,1,Maruti,Maruti Baleno RS,2018,799000.0,2019,5,KA01,998,21.1,White,5,bangalore,4
Petrol,Hatchback,59698,Manual,1,Hyundai,Hyundai i20,2015,576000.0,2015,5,KA01,1197,18.6,White,5,bangalore,8
Diesel,SUV,46071,Manual,1,Renault,Renault Captur,2018,949000.0,2018,5,KA42,1461,20.37,Grey,6,bangalore,5
